# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	DOCULECT	COUNTERPART	CONCEPT	TOKENS
3604	Mombo	kúmbè	smoke	k ú m b è
#
3605	Toro_Tegu	òlú	smooth, sleek (adjective)	ò l ú
3606	Ben_Tey	órùm	smooth, sleek (adjective)	ó r ù m
3607	Bankan_Tey	órùm	smooth, sleek (adjective)	ó r ù m
3608	Nanga	órî	smooth, sleek (adjective)	ó r î
3609	Jamsay	ònùrⁿú	smooth, sleek (adjective)	ò n ù r̃ ú
3610	Perge_Tegu	órùm	smooth, sleek (adjective)	ó r ù m
3611	Gourou	ònùrú	smooth, sleek (adjective)	ò n ù r ú
3612	Jamsay_Mondoro	ònùrⁿú	smooth, sleek (adjective)	ò n ù r̃ ú
3613	Togo_Kan	ɔ̀rⁿɔ́nɔ́nɔ́	smooth, sleek (adjective)	ɔ̀ r̃ ɔ́ n ɔ́ n ɔ́
3614	Yorno_So	ɔ́rɔ̀y	smooth, sleek (adjective)	ɔ́ r ɔ̀ dʒ
3615	Tommo_So	ɔ̀rɔ̌y	smooth, sleek (adjective)	ɔ̀ r ɔ̌ dʒ
3616	Dogul_Dom	ónònò	smooth, sleek (adjective)	ó n ò n ò
3617	Yanda_Dom	ɔ̀rⁿɔ̀ndú	smooth, sleek (adjective)	ɔ̀ r̃ ɔ̀ n d ú
3618	Tiranige	búrádá	smooth, sleek (adjective)	b ú r á d á
3619	Mombo	ɔ́nɔ́nɔ́	smooth, sleek (adjective)	ɔ́ n ɔ́ n ɔ́
3620	Bunoge	bòràllàgà	smooth, sleek (adjective)	b ò r à l l à ɡ à
#
3621	Toro_Tegu	ìsíyà	sneeze (noun)	ì s í dʒ à
3622	Ben_Tey	ìsìyâ:	sneeze (noun)	ì s ì dʒ âː
3623	Bankan_Tey	tìsìyôw	sneeze (noun)	t ì s ì dʒ ô w
3624	Nanga	ísê	sneeze (noun)	í s ê
3625	Jamsay	ègèjé	sneeze (noun)	è ɡ è dʒ é
3626	Perge_Tegu	ígísɛ̀	sneeze (noun)	í ɡ í s ɛ̀
3627	Gourou	èsìgé	sneeze (noun)	è s ì ɡ é
3628	Jamsay_Mondoro	ègèjé	sneeze (noun)	è ɡ è dʒ é
3629	Togo_Kan	àségú	sneeze (noun)	à s é ɡ ú
3630	Yorno_So	èjìgílè	sneeze (noun)	è dʒ ì ɡ í l è
3631	Tomo_Kan_Diangassagou	yìʔìjà	sneeze (noun)	dʒ ì ʔ ì dʒ à
3632	Tommo_So	ìsùgìlìyé	sneeze (noun)	ì s ù ɡ ì l ì dʒ é
3633	Tebul_Ure	ìsé	sneeze (noun)	ì s é
3634	Yanda_Dom	ìsìyà	sneeze (noun)	ì s ì dʒ à
3635	Tiranige	íjálí	sneeze (noun)	í dʒ á l í
3636	Mombo	íjílì	sneeze (noun)	í dʒ í l ì
#
3637	Toro_Tegu	gɔ́nú	snoring (noun)	ɡ ɔ́ n ú
3638	Ben_Tey	gɔ́lɔ́rɔ̀	snoring (noun)	ɡ ɔ́ l ɔ́ r ɔ̀
3639	Bankan_Tey	gɔ̀ndùrɔ̂:	snoring (noun)	ɡ ɔ̀ n d ù r ɔ̂ː
3640	Nanga	gɔ̀rɔ̀ndɔ̂	snoring (noun)	ɡ ɔ̀ r ɔ̀ n d ɔ̂
3641	Jamsay	gɔ́lɔ́rɔ́	snoring (noun)	ɡ ɔ́ l ɔ́ r ɔ́
3642	Perge_Tegu	gɔ́lɔ́rɔ̀	snoring (noun)	ɡ ɔ́ l ɔ́ r ɔ̀
3643	Togo_Kan	gɔ́rɛ́lɛ́	snoring (noun)	ɡ ɔ́ r ɛ́ l ɛ́
3644	Yorno_So	gɔ́rɔ́lɔ́	snoring (noun)	ɡ ɔ́ r ɔ́ l ɔ́
3645	Tomo_Kan_Diangassagou	gɔ̀rɔ̀dɔ̀	snoring (noun)	ɡ ɔ̀ r ɔ̀ d ɔ̀
3646	Tebul_Ure	gɔ́rɔ́dá:	snoring (noun)	ɡ ɔ́ r ɔ́ d áː
3647	Yanda_Dom	gɔ̀rɔ́dɔ̀	snoring (noun)	ɡ ɔ̀ r ɔ́ d ɔ̀
3648	Tiranige	gúrádí	snoring (noun)	ɡ ú r á d í
3649	Mombo	gɔ́rɔ́ndɔ́	snoring (noun)	ɡ ɔ́ r ɔ́ n d ɔ́
3650	Bunoge	kɔ̀rɔ̀rɔ̀	snoring (noun)	k ɔ̀ r ɔ̀ r ɔ̀
#
3651	Ben_Tey	sǎmnà	soap	s ǎ m n à
3652	Bankan_Tey	sàppínà	soap	s à p p í n à
3653	Nanga	sàmírⁿî	soap	s à m í r̃ î
3654	Jamsay	sǎmnà	soap	s ǎ m n à
3655	Perge_Tegu	sǎmnà	soap	s ǎ m n à
3656	Gourou	sǎmnà	soap	s ǎ m n à
3657	Jamsay_Mondoro	sǎmnà	soap	s ǎ m n à
3658	Togo_Kan	sáná	soap	s á n á
3659	Yorno_So	sǎmnɛ̀	soap	s ǎ m n ɛ̀
3660	Tommo_So	ɛ̀sɛ̀ndú	soap	ɛ̀ s ɛ̀ n d ú
3661	Dogul_Dom	nèmèŋgóóndú	soap	n è m è ŋ ɡ ó ó n d ú
3662	Tiranige	sámúnù	soap	s á m ú n ù
3663	Mombo	sɔ́mɔ́ŋgè	soap	s ɔ́ m ɔ́ ŋ ɡ è
3664	Bunoge	sǎmnà	soap	s ǎ m n à
#
3665	Toro_Tegu	ɛ́rá	soda ash (all types)	ɛ́ r á
3666	Ben_Tey	jɛ̌yⁿ	soda ash (all types)	dʒ ɛ̌ dʒⁿ
3667	Nanga	jè:rî	soda ash (all types)	dʒ èː r î
3668	Jamsay	ɛ́:rⁿɛ̀	soda ash (all types)	ɛ́ː r̃ ɛ̀
3669	Gourou	ɛ̀nní:	soda ash (all types)	ɛ̀ n n íː
3670	Jamsay_Mondoro	ɛ́:rⁿɛ̀	soda ash (all types)	ɛ́ː r̃ ɛ̀
3671	Togo_Kan	ɛ́:ⁿ	soda ash (all types)	ɛ̃́ː
3672	Yorno_So	ɛ̂:ⁿ	soda ash (all types)	ɛ̃̂ː
3673	Tommo_So	ɛ́ɛ́ⁿ	soda ash (all types)	ɛ́ ɛ̃́
3674	Tebul_Ure	érⁿɛ́	soda ash (all types)	é r̃ ɛ́
3675	Yanda_Dom	ɛ̀rⁿɛ̀dǎn	soda ash (all types)	ɛ̀ r̃ ɛ̀ d ǎ n
3676	Tiranige	míɲínòwⁿ	soda ash (all types)	m í ɲ í n ò w̃
3677	Mombo	kúnù	soda ash (all types)	k ú n ù
3678	Bunoge	ká:rà	soda ash (all types)	k áː r à
#
3679	Toro_Tegu	nùŋɔ́	song	n ù ŋ ɔ́
3680	Ben_Tey	nùwⁿɔ́	song	n ù w̃ ɔ́
3681	Bankan_Tey	nùmá	song	n ù m á
3682	Nanga	nùŋá	song	n ù ŋ á
3683	Jamsay	nûŋ	song	n û ŋ
3684	Perge_Tegu	núŋgɔ̀	song	n ú ŋ ɡ ɔ̀
3685	Gourou	núŋù	song	n ú ŋ ù
3686	Jamsay_Mondoro	nûŋ	song	n û ŋ
3687	Togo_Kan	núŋú	song	n ú ŋ ú
3688	Yorno_So	nɛ́:	song	n ɛ́ː
3689	Tommo_So	núyɔ́	song	n ú dʒ ɔ́
3690	Dogul_Dom	nùŋóò	song	n ù ŋ ó ò
3691	Tebul_Ure	nùŋǎ:	song	n ù ŋ ǎː
3692	Yanda_Dom	nùŋà	song	n ù ŋ à
3693	Tiranige	nwɛ́:	song	n w ɛ́ː
3694	Mombo	nɔ̂:	song	n ɔ̂ː
3695	Bunoge	núŋɔ̀	song	n ú ŋ ɔ̀
#
3696	Toro_Tegu	túsú	sorghum	t ú s ú
3697	Ben_Tey	ɛ̀mɛ̌yⁿ	sorghum	ɛ̀ m ɛ̌ dʒⁿ
3698	Bankan_Tey	ɛ̀mbɛ̌y	sorghum	ɛ̀ m b ɛ̌ dʒ
3699	Nanga	ɛ̀:mbɛ́	sorghum	ɛ̀ː m b ɛ́
3700	Jamsay	ɛ̀mɛ́	sorghum	ɛ̀ m ɛ́
3701	Perge_Tegu	ɛ̀:mbɛ́	sorghum	ɛ̀ː m b ɛ́
3702	Gourou	ɛ̀mɛ́	sorghum	ɛ̀ m ɛ́
3703	Jamsay_Mondoro	ɛ̀mɛ́	sorghum	ɛ̀ m ɛ́
3704	Togo_Kan	ɛ̀mɛ́	sorghum	ɛ̀ m ɛ́
3705	Yorno_So	ɛ̀mɛ́	sorghum	ɛ̀ m ɛ́
3706	Tomo_Kan_Diangassagou	ɛ̀mbɛ̀	sorghum	ɛ̀ m b ɛ̀
3707	Tommo_So	ɛ̀mmɛ́	sorghum	ɛ̀ m m ɛ́
3708	Dogul_Dom	ɛ́mmɛ̀	sorghum	ɛ́ m m ɛ̀
3709	Tebul_Ure	ɛ̀mbɛ́	sorghum	ɛ̀ m b ɛ́
3710	Yanda_Dom	ɛ̀mà	sorghum	ɛ̀ m à
3711	Tiranige	émá	sorghum	é m á
3712	Mombo	ɛ́mbà	sorghum	ɛ́ m b à
3713	Bunoge	sí:njà	sorghum	s íː n dʒ à
#
3714	Toro_Tegu	lɔ̀rɔ́ kàwⁿì:	soumbala (black spice made from fruits of néré tree)	l ɔ̀ r ɔ́ # k à w̃ ìː
3715	Ben_Tey	pùrùkùnûm	soumbala (black spice made from fruits of néré tree)	p ù r ù k ù n û m
3716	Bankan_Tey	kùrùkùnûm	soumbala (black spice made from fruits of néré tree)	k ù r ù k ù n û m
3717	Nanga	pùrkùndî	soumbala (black spice made from fruits of néré tree)	p ù r k ù n d î
3718	Jamsay	pùrùkɔ̀wⁿɔ́	soumbala (black spice made from fruits of néré tree)	p ù r ù k ɔ̀ w̃ ɔ́
3719	Perge_Tegu	pùrùkàwⁿá	soumbala (black spice made from fruits of néré tree)	p ù r ù k à w̃ á
3720	Gourou	pùrùkɔ̀wⁿɔ́	soumbala (black spice made from fruits of néré tree)	p ù r ù k ɔ̀ w̃ ɔ́
3721	Togo_Kan	pùrùkàwⁿá	soumbala (black spice made from fruits of néré tree)	p ù r ù k à w̃ á
3722	Yorno_So	pùrùkàwⁿá	soumbala (black spice made from fruits of néré tree)	p ù r ù k à w̃ á
3723	Tomo_Kan_Diangassagou	kàⁿhùrù	soumbala (black spice made from fruits of néré tree)	k ã̀ h ù r ù
3724	Dogul_Dom	pòráán	soumbala (black spice made from fruits of néré tree)	p ò r á á n
3725	Tebul_Ure	pùràárⁿà	soumbala (black spice made from fruits of néré tree)	p ù r à á r̃ à
3726	Yanda_Dom	pùdùkàm	soumbala (black spice made from fruits of néré tree)	p ù d ù k à m
3727	Mombo	pòrì álé	soumbala (black spice made from fruits of néré tree)	p ò r ì # á l é
3728	Bunoge	mà:rí	soumbala (black spice made from fruits of néré tree)	m àː r í
#
3729	Ben_Tey	sùsùnî: tɔ́	spit, emit a spit	s ù s ù n îː # t ɔ́
3730	Bankan_Tey	mìmbèsî tɔ́tí	spit, emit a spit	m ì m b è s î # t ɔ́ t í
3731	Nanga	tɔ̀njî tɔ́njí	spit, emit a spit	t ɔ̀ n dʒ î # t ɔ́ n dʒ í
3732	Jamsay	yɔ̀rɔ̀:ní: tɔ́:	spit, emit a spit	dʒ ɔ̀ r ɔ̀ː n íː # t ɔ́ː
3733	Perge_Tegu	yɔ̀rɔ̀ní: tɔ́:	spit, emit a spit	dʒ ɔ̀ r ɔ̀ n íː # t ɔ́ː
3734	Gourou	kàgùzá kágúzá	spit, emit a spit	k à ɡ ù z á # k á ɡ ú z á
3735	Togo_Kan	tùrɔ̀dí: túrɔ́	spit, emit a spit	t ù r ɔ̀ d íː # t ú r ɔ́
3736	Yorno_So	yù:jǎ: tɔ́:	spit, emit a spit	dʒ ùː dʒ ǎː # t ɔ́ː
3737	Tomo_Kan_Diangassagou	tùrɛ̀ⁿjì tùrɛ́	spit, emit a spit	t ù r ɛ̃̀ dʒ ì # t ù r ɛ́
3738	Tommo_So	yúlɔ́ tɔ́ɔ́	spit, emit a spit	dʒ ú l ɔ́ # t ɔ́ ɔ́
3739	Dogul_Dom	dòɲjé tùwé	spit, emit a spit	d ò ɲ dʒ é # t ù w é
3740	Yanda_Dom	sùmzú tó:	spit, emit a spit	s ù m z ú # t óː
3741	Tiranige	só:ndí tɔ́:	spit, emit a spit	s óː n d í # t ɔ́ː
3742	Bunoge	sɛ̂:	spit, emit a spit	s ɛ̂ː
#
3743	Toro_Tegu	cɛ́lámpárèy	spleen	tʃ ɛ́ l á m p á r è dʒ
3744	Ben_Tey	kɛ̀lɛ̀pǎ:lày	spleen	k ɛ̀ l ɛ̀ p ǎː l à dʒ
3745	Bankan_Tey	kɛ̀ndɛ̀pàrⁿâ	spleen	k ɛ̀ n d ɛ̀ p à r̃ â
3746	Nanga	kɛ̀ndɛ̀pàrⁿá	spleen	k ɛ̀ n d ɛ̀ p à r̃ á
3747	Jamsay	cɛ̀nɛ̀ pǎ:làm	spleen	tʃ ɛ̀ n ɛ̀ # p ǎː l à m
3748	Perge_Tegu	kɛ̀lɛ̀ pǎ:là	spleen	k ɛ̀ l ɛ̀ # p ǎː l à
3749	Togo_Kan	kɛ̀nɛ̀làlàgá	spleen	k ɛ̀ n ɛ̀ l à l à ɡ á
3750	Yorno_So	kìnɛ̀ gùgǔyⁿnɛ́	spleen	k ì n ɛ̀ # ɡ ù ɡ ǔ dʒⁿ n ɛ́
3751	Tommo_So	kìndɛ̀ pààràá	spleen	k ì n d ɛ̀ # p à à r à á
3752	Dogul_Dom	dáámòl	spleen	d á á m ò l
3753	Tebul_Ure	kɛ̀ndɛ̀pàrá	spleen	k ɛ̀ n d ɛ̀ p à r á
3754	Yanda_Dom	cìndàbàrá	spleen	tʃ ì n d à b à r á
3755	Mombo	nà:gà kíndá	spleen	n àː ɡ à # k í n d á
3756	Bunoge	nàmmɛ̀	spleen	n à m m ɛ̀
#
3757	Ben_Tey	tɔ́rⁿíyⁿí	squat	t ɔ́ r̃ í dʒⁿ í
3758	Bankan_Tey	tɔ́rⁿíyí	squat	t ɔ́ r̃ í dʒ í
3759	Nanga	sówyé	squat	s ó w dʒ é
3760	Jamsay	tɔ́rⁿɔ́	squat	t ɔ́ r̃ ɔ́
3761	Perge_Tegu	tɔ́rⁿúyⁿɔ́	squat	t ɔ́ r̃ ú dʒⁿ ɔ́
3762	Gourou	tɔ́rⁿɔ́	squat	t ɔ́ r̃ ɔ́
3763	Jamsay_Mondoro	tɔ́rⁿɔ́	squat	t ɔ́ r̃ ɔ́
3764	Togo_Kan	tɔ́rⁿì:	squat	t ɔ́ r̃ ìː
3765	Tomo_Kan_Diangassagou	twɛ̀lí	squat	t w ɛ̀ l í
3766	Tommo_So	tɔ́ɔ́díyɛ́	squat	t ɔ́ ɔ́ d í dʒ ɛ́
3767	Dogul_Dom	tɔ̀nìyɛ́	squat	t ɔ̀ n ì dʒ ɛ́
3768	Tiranige	sómbíyó	squat	s ó m b í dʒ ó
3769	Mombo	sómbyê:	squat	s ó m b dʒ êː
3770	Bunoge	sǒmbè	squat	s ǒ m b è
#
3771	Toro_Tegu	béré	staff, stick (general word)	b é r é
3772	Ben_Tey	béré	staff, stick (general word)	b é r é
3773	Bankan_Tey	béré	staff, stick (general word)	b é r é
3774	Nanga	béré	staff, stick (general word)	b é r é
3775	Jamsay	béré	staff, stick (general word)	b é r é
3776	Perge_Tegu	béré	staff, stick (general word)	b é r é
3777	Gourou	béré	staff, stick (general word)	b é r é
3778	Togo_Kan	bá:gá	staff, stick (general word)	b áː ɡ á
3779	Yorno_So	bágá	staff, stick (general word)	b á ɡ á
3780	Tommo_So	tànnàá	staff, stick (general word)	t à n n à á
3781	Tebul_Ure	bé:	staff, stick (general word)	b éː
3782	Tiranige	túmá	staff, stick (general word)	t ú m á
3783	Mombo	túmà	staff, stick (general word)	t ú m à
3784	Bunoge	túmà	staff, stick (general word)	t ú m à
#
3785	Toro_Tegu	sémrěy	star	s é m r ě dʒ
3786	Ben_Tey	tóró	star	t ó r ó
3787	Bankan_Tey	bàndà kɔ̀:rɔ̌y	star	b à n d à # k ɔ̀ː r ɔ̌ dʒ
3788	Nanga	wà:kɔ̀rɔ́	star	w àː k ɔ̀ r ɔ́
3789	Jamsay	tóró	star	t ó r ó
3790	Perge_Tegu	tóró	star	t ó r ó
3791	Gourou	tóró	star	t ó r ó
3792	Togo_Kan	tóró	star	t ó r ó
3793	Yorno_So	tònòlòý	star	t ò n ò l ò dʒ́
3794	Tommo_So	tòndòlòý	star	t ò n d ò l ò dʒ́
3795	Dogul_Dom	tólò	star	t ó l ò
3796	Tebul_Ure	tóndó:	star	t ó n d óː
3797	Tiranige	kɔ̀lɔ̀ŋkɔ́lɔ̀wⁿ	star	k ɔ̀ l ɔ̀ ŋ k ɔ́ l ɔ̀ w̃
3798	Mombo	áŋkɔ́lɛ̀	star	á ŋ k ɔ́ l ɛ̀
3799	Bunoge	jɔ̀ŋgúlɛ̀	star	dʒ ɔ̀ ŋ ɡ ú l ɛ̀
#
3800	Toro_Tegu	cècèrú	stem, stalk	tʃ è tʃ è r ú
3801	Bankan_Tey	kɔ̀ŋgùrɔ́	stem, stalk	k ɔ̀ ŋ ɡ ù r ɔ́
3802	Nanga	sɔ́gɔ̂	stem, stalk	s ɔ́ ɡ ɔ̂
3803	Perge_Tegu	kìkèrú	stem, stalk	k ì k è r ú
3804	Gourou	kè:rú	stem, stalk	k èː r ú
3805	Jamsay_Mondoro	cè:rú	stem, stalk	tʃ èː r ú
3806	Togo_Kan	kèrú	stem, stalk	k è r ú
3807	Yorno_So	kèrú	stem, stalk	k è r ú
3808	Tomo_Kan_Diangassagou	cèrì	stem, stalk	tʃ è r ì
3809	Tebul_Ure	cèrgó	stem, stalk	tʃ è r ɡ ó
3810	Yanda_Dom	kàdù	stem, stalk	k à d ù
3811	Tiranige	kɔ̀jì	stem, stalk	k ɔ̀ dʒ ì
3812	Mombo	kójí	stem, stalk	k ó dʒ í
3813	Bunoge	kògálì	stem, stalk	k ò ɡ á l ì
#
3814	Toro_Tegu	bètèká	stomach	b è t è k á
3815	Ben_Tey	bìnjírì	stomach	b ì n dʒ í r ì
3816	Bankan_Tey	pìrèkɔ̀rɔ̀ díyⁿàwⁿ	stomach	p ì r è k ɔ̀ r ɔ̀ # d í dʒⁿ à w̃
3817	Nanga	bìndì dùgí	stomach	b ì n d ì # d ù ɡ í
3818	Jamsay	pùró	stomach	p ù r ó
3819	Perge_Tegu	bìŋgírì	stomach	b ì ŋ ɡ í r ì
3820	Gourou	pùpùró	stomach	p ù p ù r ó
3821	Jamsay_Mondoro	pùró	stomach	p ù r ó
3822	Togo_Kan	pùró	stomach	p ù r ó
3823	Yorno_So	bìnɛ́	stomach	b ì n ɛ́
3824	Tomo_Kan_Diangassagou	hùrú	stomach	h ù r ú
3825	Tommo_So	bìndù bòró	stomach	b ì n d ù # b ò r ó
3826	Dogul_Dom	bìndú	stomach	b ì n d ú
3827	Yanda_Dom	pìdìm bǐn	stomach	p ì d ì m # b ǐ n
3828	Tiranige	pìjìpìjí	stomach	p ì dʒ ì p ì dʒ í
3829	Mombo	píndípíndí	stomach	p í n d í p í n d í
#
3830	Toro_Tegu	tùwó	stone, rock	t ù w ó
3831	Ben_Tey	kúrⁿù	stone, rock	k ú r̃ ù
3832	Bankan_Tey	kúrⁿò	stone, rock	k ú r̃ ò
3833	Nanga	kúrⁿô	stone, rock	k ú r̃ ô
3834	Jamsay	tùmó	stone, rock	t ù m ó
3835	Perge_Tegu	tùwó	stone, rock	t ù w ó
3836	Gourou	tùmó	stone, rock	t ù m ó
3837	Jamsay_Mondoro	tùmó	stone, rock	t ù m ó
3838	Togo_Kan	tùwó	stone, rock	t ù w ó
3839	Dogul_Dom	kínú	stone, rock	k í n ú
3840	Tebul_Ure	cínú	stone, rock	tʃ í n ú
3841	Yanda_Dom	cìn	stone, rock	tʃ ì n
3842	Tiranige	cé:mbè	stone, rock	tʃ éː m b è
3843	Mombo	kínnì	stone, rock	k í n n ì
3844	Bunoge	kínì	stone, rock	k í n ì
#
3845	Toro_Tegu	dèŋdǐŋ	stool (without back)	d è ŋ d ǐ ŋ
3846	Ben_Tey	túŋgúrúm	stool (without back)	t ú ŋ ɡ ú r ú m
3847	Bankan_Tey	túŋgúrú	stool (without back)	t ú ŋ ɡ ú r ú
3848	Nanga	túŋgúrí	stool (without back)	t ú ŋ ɡ ú r í
3849	Jamsay	túŋúrⁿú	stool (without back)	t ú ŋ ú r̃ ú
3850	Perge_Tegu	túŋúrⁿúm	stool (without back)	t ú ŋ ú r̃ ú m
3851	Gourou	túmúrú	stool (without back)	t ú m ú r ú
3852	Togo_Kan	túŋúrⁿú	stool (without back)	t ú ŋ ú r̃ ú
3853	Yorno_So	tɔ́ŋɔ́	stool (without back)	t ɔ́ ŋ ɔ́
3854	Tommo_So	túŋgúrú	stool (without back)	t ú ŋ ɡ ú r ú
3855	Tebul_Ure	túŋgúrgɔ́	stool (without back)	t ú ŋ ɡ ú r ɡ ɔ́
3856	Yanda_Dom	túndúl	stool (without back)	t ú n d ú l
3857	Tiranige	túŋgúlú	stool (without back)	t ú ŋ ɡ ú l ú
3858	Mombo	tùŋgùtúŋgù	stool (without back)	t ù ŋ ɡ ù t ú ŋ ɡ ù
3859	Bunoge	túntùŋgè	stool (without back)	t ú n t ù ŋ ɡ è
#
3860	Toro_Tegu	ísà	stream, small river	í s à
3861	Ben_Tey	gòrǒy	stream, small river	ɡ ò r ǒ dʒ
3862	Bankan_Tey	gòrǒy	stream, small river	ɡ ò r ǒ dʒ
3863	Nanga	góró	stream, small river	ɡ ó r ó
3864	Jamsay	góró	stream, small river	ɡ ó r ó
3865	Perge_Tegu	gó:ró	stream, small river	ɡ óː r ó
3866	Togo_Kan	góró	stream, small river	ɡ ó r ó
3867	Yorno_So	góló	stream, small river	ɡ ó l ó
3868	Tommo_So	gòlònnó	stream, small river	ɡ ò l ò n n ó
3869	Dogul_Dom	dùnnú	stream, small river	d ù n n ú
3870	Tebul_Ure	gò:ndó	stream, small river	ɡ òː n d ó
3871	Yanda_Dom	gòndòlò	stream, small river	ɡ ò n d ò l ò
3872	Mombo	á:mbá	stream, small river	áː m b á
3873	Bunoge	yì:lì	stream, small river	dʒ ìː l ì
#
3874	Toro_Tegu	césú	strength, power, force	tʃ é s ú
3875	Bankan_Tey	tɔ̀rú	strength, power, force	t ɔ̀ r ú
3876	Nanga	pàŋá	strength, power, force	p à ŋ á
3877	Jamsay	pàŋá	strength, power, force	p à ŋ á
3878	Perge_Tegu	pàŋá	strength, power, force	p à ŋ á
3879	Gourou	pàŋá	strength, power, force	p à ŋ á
3880	Jamsay_Mondoro	pàŋá	strength, power, force	p à ŋ á
3881	Togo_Kan	pàŋá	strength, power, force	p à ŋ á
3882	Yorno_So	pàŋá	strength, power, force	p à ŋ á
3883	Dogul_Dom	sɛ́mbɛ̀	strength, power, force	s ɛ́ m b ɛ̀
3884	Tebul_Ure	pàŋgá	strength, power, force	p à ŋ ɡ á
3885	Yanda_Dom	pàŋà	strength, power, force	p à ŋ à
3886	Tiranige	sɛ̀mbɛ̀	strength, power, force	s ɛ̀ m b ɛ̀
3887	Mombo	sɛ́mbɛ́	strength, power, force	s ɛ́ m b ɛ́
#
3888	Ben_Tey	bémbù bèmbé	stutter, stammer	b é m b ù # b è m b é
3889	Bankan_Tey	bèmbé	stutter, stammer	b è m b é
3890	Nanga	bémbè bèmbé	stutter, stammer	b é m b è # b è m b é
3891	Jamsay	îm ímɛ́	stutter, stammer	î m # í m ɛ́
3892	Perge_Tegu	bêm bèmbé	stutter, stammer	b ê m # b è m b é
3893	Gourou	îm ímɛ́	stutter, stammer	î m # í m ɛ́
3894	Jamsay_Mondoro	îm ímɛ́	stutter, stammer	î m # í m ɛ́
3895	Togo_Kan	ìrí íré	stutter, stammer	ì r í # í r é
3896	Yorno_So	ímù ímɛ́	stutter, stammer	í m ù # í m ɛ́
3897	Tommo_So	ílmɛ́ ílmɛ́	stutter, stammer	í l m ɛ́ # í l m ɛ́
3898	Tebul_Ure	ím ímɛ́	stutter, stammer	í m # í m ɛ́
3899	Yanda_Dom	ímìlù ímíló	stutter, stammer	í m ì l ù # í m í l ó
3900	Tiranige	túgújú túgújó	stutter, stammer	t ú ɡ ú dʒ ú # t ú ɡ ú dʒ ó
3901	Mombo	úgúlú júŋgé	stutter, stammer	ú ɡ ú l ú # dʒ ú ŋ ɡ é
#
3902	Toro_Tegu	bémò	stuttering, stammering (noun)	b é m ò
3903	Ben_Tey	bémbù	stuttering, stammering (noun)	b é m b ù
3904	Bankan_Tey	bémbé	stuttering, stammering (noun)	b é m b é
3905	Nanga	bémbè	stuttering, stammering (noun)	b é m b è
3906	Jamsay	îm	stuttering, stammering (noun)	î m
3907	Perge_Tegu	bêm	stuttering, stammering (noun)	b ê m
3908	Gourou	îm	stuttering, stammering (noun)	î m
3909	Jamsay_Mondoro	îm	stuttering, stammering (noun)	î m
3910	Togo_Kan	ìrí	stuttering, stammering (noun)	ì r í
3911	Yorno_So	ímù	stuttering, stammering (noun)	í m ù
3912	Tommo_So	ílmɛ́	stuttering, stammering (noun)	í l m ɛ́
3913	Tebul_Ure	ím	stuttering, stammering (noun)	í m
3914	Yanda_Dom	ímìlù	stuttering, stammering (noun)	í m ì l ù
3915	Tiranige	túgújú	stuttering, stammering (noun)	t ú ɡ ú dʒ ú
3916	Mombo	úgúlú	stuttering, stammering (noun)	ú ɡ ú l ú
#
3917	Ben_Tey	ɔ́njí	suck (e.g. candy)	ɔ́ n dʒ í
3918	Bankan_Tey	ɔ́zí	suck (e.g. candy)	ɔ́ z í
3919	Nanga	ɔ́njí	suck (e.g. candy)	ɔ́ n dʒ í
3920	Jamsay	ɔ́ɲɔ́	suck (e.g. candy)	ɔ́ ɲ ɔ́
3921	Perge_Tegu	ɔ́njɔ́	suck (e.g. candy)	ɔ́ n dʒ ɔ́
3922	Gourou	ɔ́sɔ́	suck (e.g. candy)	ɔ́ s ɔ́
3923	Jamsay_Mondoro	ɔ́ɲɔ́	suck (e.g. candy)	ɔ́ ɲ ɔ́
3924	Togo_Kan	ɔ́ɲɔ́	suck (e.g. candy)	ɔ́ ɲ ɔ́
3925	Yorno_So	ɔ́ɲɔ́	suck (e.g. candy)	ɔ́ ɲ ɔ́
3926	Tomo_Kan_Diangassagou	ʔɔ́njɛ́	suck (e.g. candy)	ʔ ɔ́ n dʒ ɛ́
3927	Tommo_So	ɔ́njɔ́	suck (e.g. candy)	ɔ́ n dʒ ɔ́
3928	Dogul_Dom	ɔ̀ɲjɛ́	suck (e.g. candy)	ɔ̀ ɲ dʒ ɛ́
3929	Tiranige	ónjó	suck (e.g. candy)	ó n dʒ ó
3930	Mombo	mílɛ́	suck (e.g. candy)	m í l ɛ́
#
3931	Toro_Tegu	nǒŋ	sun	n ǒ ŋ
3932	Ben_Tey	ùsú	sun	ù s ú
3933	Bankan_Tey	ùsú	sun	ù s ú
3934	Nanga	ùsí	sun	ù s í
3935	Jamsay	nìnǐ:	sun	n ì n ǐː
3936	Perge_Tegu	nìnǐ:	sun	n ì n ǐː
3937	Gourou	nìnǐ:	sun	n ì n ǐː
3938	Jamsay_Mondoro	nìnǐ:	sun	n ì n ǐː
3939	Togo_Kan	nùnùŋú	sun	n ù n ù ŋ ú
3940	Yorno_So	nǎm	sun	n ǎ m
